source,target,APlevel,value,clusterId,sourcefilename,targetfilename,clustersize,sourceTopWords,targetTopWords
doc309,e349,2,-1,10,02991.txt,00349.txt,172,new;rite;cosmetics;ms.;p&g,st.;credit;box;battle;mountain
doc31,e50,2,-1,7,04438.txt,00050.txt,133,said;authorities;bosnian;war;military,p.m.;introduction;pan;asean;remarks
doc310,e349,2,-1,10,01040.txt,00349.txt,197,'site;democrats;democrats'''';web;online',a.m.;united;copper;72;states
doc311,e349,2,-1,10,03552.txt,00349.txt,4,million;cents;added;session;pesos.,u.s.;oil;iraqi;iraq;argentine
doc312,e349,2,-1,10,00945.txt,00349.txt,197,cents;futures;august;day;corn,a.m.;united;copper;72;states
doc313,e349,2,-1,10,00696.txt,00349.txt,169,games;fighters;said;boxing;u.s.,blue;mfs;ladonna;juvenile;mose
doc314,e349,2,-1,10,01039.txt,00349.txt,197,issues;bank;won;samsung;korea,a.m.;united;copper;72;states
doc315,e349,2,-1,10,02255.txt,00349.txt,169,muller;second;racing;pit;points,blue;mfs;ladonna;juvenile;mose
doc316,e325,2,-1,11,00426.txt,00325.txt,169,said;republican;codi;derryberry;mr.,blue;mfs;ladonna;juvenile;mose
doc317,e349,2,-1,10,02586.txt,00349.txt,169,president;russia;presidential;imf;mr.,blue;mfs;ladonna;juvenile;mose
doc318,e349,2,-1,10,00538.txt,00349.txt,25,2nd;t;springer;base;naehring,c;loaiza;car;louis;atlanta
doc319,e349,2,-1,10,00729.txt,00349.txt,172,european;doubts;france;french;monetary,st.;credit;box;battle;mountain
doc32,e50,2,-1,7,01756.txt,00050.txt,197,cuban;year;cigars;officials;says,a.m.;united;copper;72;states
doc320,e325,2,-1,11,04447.txt,00325.txt,172,financial;chantal;stock;company;coopers,st.;credit;box;battle;mountain
doc321,e325,2,-1,11,00818.txt,00325.txt,197,traders;stock;market;dax;u.s.,a.m.;united;copper;72;states
doc322,e325,2,-1,11,00036.txt,00325.txt,22,shares;jones;stock;market;dow,million;cattle;u.s.;gruma;pence
doc323,e325,2,-1,11,03194.txt,00325.txt,21,trade;wto;u.s.;mr.;china,salmon;red;air;ball;tide
doc324,e325,2,-1,11,02132.txt,00325.txt,25,b;estes;creek;p;j,c;loaiza;car;louis;atlanta
doc326,e325,2,-1,11,03661.txt,00325.txt,197,permitted;rose;issues;won;won.,a.m.;united;copper;72;states
doc327,e325,2,-1,11,04302.txt,00325.txt,169,president;left;like;right;mr.,blue;mfs;ladonna;juvenile;mose
doc328,e325,2,-1,11,00378.txt,00325.txt,197,metric;canadian;pulp;producers;tons,a.m.;united;copper;72;states
doc329,e325,2,-1,11,00593.txt,00325.txt,133,basketball;jona;said;los;lakers,p.m.;introduction;pan;asean;remarks
doc33,e50,2,-1,7,03433.txt,00050.txt,169,'sampson''s;jayme;full;.400;mr.',blue;mfs;ladonna;juvenile;mose
doc330,e325,2,-1,11,00657.txt,00325.txt,133,cable;court;channels;public;rules,p.m.;introduction;pan;asean;remarks
doc331,e325,2,-1,11,00632.txt,00325.txt,169,going;said;dodgers;foster;2011,blue;mfs;ladonna;juvenile;mose
doc332,e325,2,-1,11,01939.txt,00325.txt,172,new;communities;roc;company;chateau,st.;credit;box;battle;mountain
doc333,e325,2,-1,11,01629.txt,00325.txt,12,publicis;davida;true;north;mr.,mr.;research;iranian;elections;government
doc334,e325,2,-1,11,01867.txt,00325.txt,133,bradstreet;dun;new;said;mr.,p.m.;introduction;pan;asean;remarks
doc335,e325,2,-1,11,03292.txt,00325.txt,169,site.;i;web;chicago;mr.,blue;mfs;ladonna;juvenile;mose
doc336,e325,2,-1,11,00815.txt,00325.txt,197,traders;stock;bank;points;stocks,a.m.;united;copper;72;states
doc337,e404,2,-1,12,00792.txt,00404.txt,197,'california''s;new;san;california;utilities',a.m.;united;copper;72;states
doc338,e325,2,-1,11,01759.txt,00325.txt,197,shares;million;traders;pesetas;billion,a.m.;united;copper;72;states
doc339,e325,2,-1,11,01199.txt,00325.txt,197,investigation.;leading;money;large;brandi,a.m.;united;copper;72;states
doc34,e50,2,-1,7,02694.txt,00050.txt,197,moments--like;indestructible;tuttle;joye;charlie,a.m.;united;copper;72;states
doc340,e325,2,-1,11,03439.txt,00325.txt,172,said;said.;snow;rescue;people,st.;credit;box;battle;mountain
doc341,e349,2,-1,10,00822.txt,00349.txt,25,flaherty;ritz;c;sanders;mabelle,c;loaiza;car;louis;atlanta
doc342,e349,2,-1,10,04430.txt,00349.txt,12,shares;index;jones;dow;stocks,shares;prices;rose;index;market
doc343,e393,2,-1,13,03023.txt,00393.txt,45,earnings;new;million;return;bank,family;ife;vastcomm;true;comsat
doc344,e393,2,-1,13,00897.txt,00393.txt,197,cent;forecasts;new;cents;ahead,a.m.;united;copper;72;states
doc345,e349,2,-1,10,04054.txt,00349.txt,172,hong;stock;coli;kong;china,st.;credit;box;battle;mountain
doc346,e349,2,-1,10,01404.txt,00349.txt,169,mose;orpheus;like;dance;mr.,blue;mfs;ladonna;juvenile;mose
doc347,e349,2,-1,10,00445.txt,00349.txt,45,'said;ast;samsung;ast''s;mr.',family;ife;vastcomm;true;comsat
doc348,e349,2,-1,10,03691.txt,00349.txt,45,'company''s;said;officer;mr.;chief',family;ife;vastcomm;true;comsat
doc35,e50,2,-1,7,01354.txt,00050.txt,197,gas;fell;pesetas;lower;price,a.m.;united;copper;72;states
doc350,e349,2,-1,10,00270.txt,00349.txt,169,president;second;codi;medicare;mr.,blue;mfs;ladonna;juvenile;mose
doc351,e349,2,-1,10,00338.txt,00349.txt,197,million;technology;isdn;cisco;telebit,a.m.;united;copper;72;states
doc352,e349,2,-1,10,02345.txt,00349.txt,23,market;dollar;dow;mr.;sanborn,satellite;inflation;bank;cut;industry
doc353,e404,2,-1,12,00045.txt,00404.txt,21,tabatha;says;south;air;mr.,salmon;red;air;ball;tide
doc354,e404,2,-1,12,04106.txt,00404.txt,197,'plant;reactor;reactor''s;pressure;nuclear',a.m.;united;copper;72;states
doc355,e404,2,-1,12,01873.txt,00404.txt,133,said;westside;seahawks;stadium;allene,p.m.;introduction;pan;asean;remarks
doc356,e404,2,-1,12,04214.txt,00404.txt,197,michaele;mumford;stay;article;issue.,a.m.;united;copper;72;states
doc357,e404,2,-1,12,03959.txt,00404.txt,12,'her''s;said;russian;crabb;mr.',mr.;research;iranian;elections;government
doc358,e404,2,-1,12,00068.txt,00404.txt,12,index;fell;jones;market;dow,shares;prices;rose;index;market
doc359,e404,2,-1,12,03417.txt,00404.txt,14,budget;deficit;fiscal;billion;projected,construction;deficit;swiss;french;auchan
doc36,e50,2,-1,7,02067.txt,00050.txt,169,touch;pc;mr.;says.;mobile,blue;mfs;ladonna;juvenile;mose
doc360,e404,2,-1,12,04426.txt,00404.txt,172,chrysler;said;contract;union;canadian,st.;credit;box;battle;mountain
doc361,e393,2,-1,13,00321.txt,00393.txt,133,charges;cuban;yuan;years;mr.,p.m.;introduction;pan;asean;remarks
doc362,e404,2,-1,12,02037.txt,00404.txt,21,legal;european;political;government;nation-state,salmon;red;air;ball;tide
doc363,e393,2,-1,13,03367.txt,00393.txt,133,time;says;emu;italy;mr.,p.m.;introduction;pan;asean;remarks
doc364,e393,2,-1,13,02227.txt,00393.txt,172,'company''s;debeers;argyle;debswana;debeers''s',st.;credit;box;battle;mountain
doc365,e393,2,-1,13,02102.txt,00393.txt,197,need;parents;june;pondering;2011,a.m.;united;copper;72;states
doc366,e393,2,-1,13,04058.txt,00393.txt,22,wheat;rose;cents;futures;september,million;cattle;u.s.;gruma;pence
doc367,e393,2,-1,13,03048.txt,00393.txt,172,accustaff;acquisition;company;career;staffing,st.;credit;box;battle;mountain
doc368,e393,2,-1,13,01470.txt,00393.txt,197,fell;cents;after-tax;slipped;2011,a.m.;united;copper;72;states
doc369,e393,2,-1,13,03315.txt,00393.txt,21,service;says;internet;network;mr.,salmon;red;air;ball;tide
doc37,e50,2,-1,7,01276.txt,00050.txt,169,said;lonnie;derryberry;war;mr.,blue;mfs;ladonna;juvenile;mose
doc370,e349,2,-1,10,00104.txt,00349.txt,169,president;new;codi;government;mr.,blue;mfs;ladonna;juvenile;mose
doc371,e393,2,-1,13,03175.txt,00393.txt,22,traders;cents;precious;august;corn,million;cattle;u.s.;gruma;pence
doc372,e349,2,-1,10,03612.txt,00349.txt,2,home;plan;tax;exclusion;current,home;tax;exclusion;plan;current
doc373,e349,2,-1,10,01489.txt,00349.txt,45,new;arch;says;industry;paging,family;ife;vastcomm;true;comsat
doc374,e389,2,-1,14,02560.txt,00389.txt,45,card;credit;vastcomm;mr.;network,family;ife;vastcomm;true;comsat
doc375,e389,2,-1,14,03301.txt,00389.txt,169,feel;florentine;art;dowdy;mr.,blue;mfs;ladonna;juvenile;mose
doc376,e389,2,-1,14,00536.txt,00389.txt,169,said;codi;derryberry;education;mr.,blue;mfs;ladonna;juvenile;mose
doc377,e389,2,-1,14,00279.txt,00389.txt,172,television;said;u.s.;media;bertelsmann,st.;credit;box;battle;mountain
doc378,e383,2,-1,8,03364.txt,00383.txt,197,earnings;new;york;bank;credit,a.m.;united;copper;72;states
doc379,e383,2,-1,8,01446.txt,00383.txt,169,said.;dunlap;canadian;lead;week,blue;mfs;ladonna;juvenile;mose
doc38,e50,2,-1,7,02854.txt,00050.txt,197,usair;alliance;air;french;u.s.,a.m.;united;copper;72;states
doc380,e383,2,-1,8,02107.txt,00383.txt,197,drivers;trucks;accident;18;wheeler,a.m.;united;copper;72;states
doc381,e383,2,-1,8,04471.txt,00383.txt,45,ife;family;cbn;timothy;channel,family;ife;vastcomm;true;comsat
doc382,e383,2,-1,8,02385.txt,00383.txt,133,american;boatman;express;mr.;largest,p.m.;introduction;pan;asean;remarks
doc384,e383,2,-1,8,01097.txt,00383.txt,169,mose;books;iverson;says;mr.,blue;mfs;ladonna;juvenile;mose
doc385,e383,2,-1,8,02710.txt,00383.txt,197,america;republican;documents;available;online,a.m.;united;copper;72;states
doc386,e383,2,-1,8,02085.txt,00383.txt,172,caller;phone;sound;privacy;callers,st.;credit;box;battle;mountain
doc387,e389,2,-1,14,04273.txt,00389.txt,172,company;money;chequepoint;business;according,st.;credit;box;battle;mountain
doc388,e389,2,-1,14,01581.txt,00389.txt,23,rate;said;bank;cut;inflation,satellite;inflation;bank;cut;industry
doc39,e50,2,-1,7,03914.txt,00050.txt,172,information;million;stock;access;informed,st.;credit;box;battle;mountain
doc390,e393,2,-1,13,02442.txt,00393.txt,133,'flight;united;says;attendants;united''s',p.m.;introduction;pan;asean;remarks
doc391,e393,2,-1,13,02189.txt,00393.txt,197,stock;shares;class;companies;government,a.m.;united;copper;72;states
doc392,e393,2,-1,13,02633.txt,00393.txt,25,yd;car;kasay;atlanta;fg,c;loaiza;car;louis;atlanta
doc394,e393,2,-1,13,02542.txt,00393.txt,10,yields;debt;municipal;d.c.;city,spread;point;d.c.;million;yields
doc395,e393,2,-1,13,02495.txt,00393.txt,172,chancellor;communications;stations;markets.;radio,st.;credit;box;battle;mountain
doc396,e404,2,-1,12,02768.txt,00404.txt,172,compared;equity;one-time;bank;million,st.;credit;box;battle;mountain
doc397,e404,2,-1,12,03584.txt,00404.txt,169,president;air;force;mr.;crashed,blue;mfs;ladonna;juvenile;mose
doc398,e404,2,-1,12,01220.txt,00404.txt,169,hong;rickman;said;sfc;mr.,blue;mfs;ladonna;juvenile;mose
doc399,e404,2,-1,12,00408.txt,00404.txt,169,said;russian;gen.;crabb;mr.,blue;mfs;ladonna;juvenile;mose
doc4,e13,2,-1,0,00091.txt,00013.txt,172,water;wells;old;lake;pasta,st.;credit;box;battle;mountain
doc40,e50,2,-1,7,00816.txt,00050.txt,172,'umbc''s;profit;institute;derouen;2011',st.;credit;box;battle;mountain
doc400,e404,2,-1,12,01910.txt,00404.txt,7,said;hit;2011;win;detroit,p.m.;july;august;june;salcido
doc401,e404,2,-1,12,03688.txt,00404.txt,25,rbi;b;stottlemyre;bullinger;j,c;loaiza;car;louis;atlanta
doc402,e404,2,-1,12,00954.txt,00404.txt,172,mountain;battle;company;gold;mr.,st.;credit;box;battle;mountain
doc403,e404,2,-1,12,01869.txt,00404.txt,133,cp;said;southam;news;canadian,p.m.;introduction;pan;asean;remarks
doc405,e404,2,-1,12,02803.txt,00404.txt,169,single;looper;royals;chicago;kansas,blue;mfs;ladonna;juvenile;mose
doc406,e404,2,-1,12,03582.txt,00404.txt,172,political;taiwan;chinese;taiwanese;china,st.;credit;box;battle;mountain
doc407,e404,2,-1,12,02852.txt,00404.txt,197,marine;dade;fort;industry;boat,a.m.;united;copper;72;states
doc408,e404,2,-1,12,02726.txt,00404.txt,172,citation;new;jet;x;largest,st.;credit;box;battle;mountain
doc409,e393,2,-1,13,04146.txt,00393.txt,7,'salcido;reds;allena;salcido''s;2011',p.m.;july;august;june;salcido
doc41,e50,2,-1,7,00783.txt,00050.txt,25,convention;says;party;mr.;delegates,welfare;tax;capital;windows;u.n.
doc410,e393,2,-1,13,00422.txt,00393.txt,172,said;america;e-mail;on-line;online,st.;credit;box;battle;mountain
doc411,e393,2,-1,13,00875.txt,00393.txt,14,profit;said;company;billion;kronor,kronor;drug;shares;astra;fell
doc412,e393,2,-1,13,02443.txt,00393.txt,169,new;it;tobacco;says;party,blue;mfs;ladonna;juvenile;mose
doc413,e389,2,-1,14,03408.txt,00389.txt,197,sites;programs;games;web;discovery,a.m.;united;copper;72;states
doc414,e389,2,-1,14,03260.txt,00389.txt,133,said;british;airways;rights;u.s.,p.m.;introduction;pan;asean;remarks
doc415,e389,2,-1,14,01464.txt,00389.txt,25,managed;hmos;care;doctors;health,welfare;tax;capital;windows;u.n.
doc416,e389,2,-1,14,01554.txt,00389.txt,169,orourke;says;convention;media;mr.,blue;mfs;ladonna;juvenile;mose
doc417,e383,2,-1,8,03311.txt,00383.txt,197,interior.;interstate;old;highway;drugs,a.m.;united;copper;72;states
doc418,e383,2,-1,8,01982.txt,00383.txt,172,'shareholders;jockey;bay;california;jockey''s',st.;credit;box;battle;mountain
doc419,e383,2,-1,8,04113.txt,00383.txt,172,kirch;said;bskyb;digital;bertelsmann,st.;credit;box;battle;mountain
doc42,e50,2,-1,7,03673.txt,00050.txt,172,million;said;campbell;company;soup,st.;credit;box;battle;mountain
doc420,e383,2,-1,8,04393.txt,00383.txt,172,'said;canada''s;rate;bank;central',st.;credit;box;battle;mountain
doc421,e383,2,-1,8,04373.txt,00383.txt,169,said;codi;state;campaign;mr.,blue;mfs;ladonna;juvenile;mose
doc422,e383,2,-1,8,03892.txt,00383.txt,169,million;mfs;friedman;local;mr.,blue;mfs;ladonna;juvenile;mose
doc423,e383,2,-1,8,02856.txt,00383.txt,12,gorham;scientific;government;research;mr.,mr.;research;iranian;elections;government
doc424,e383,2,-1,8,02403.txt,00383.txt,197,shares;index;market;jones;dow,a.m.;united;copper;72;states
doc425,e383,2,-1,8,01333.txt,00383.txt,169,'derryberry''s;codi;derryberry;codi''s;mr.',blue;mfs;ladonna;juvenile;mose
doc426,e383,2,-1,8,00459.txt,00383.txt,172,andina;acquire;coke;agreement;coca-cola,st.;credit;box;battle;mountain
doc427,e389,2,-1,14,00777.txt,00389.txt,133,mimbs;hit;dean;conine;run,p.m.;introduction;pan;asean;remarks
doc428,e389,2,-1,14,02695.txt,00389.txt,22,rose;index;said;tuesday;close,million;cattle;u.s.;gruma;pence
doc429,e389,2,-1,14,00937.txt,00389.txt,169,'parliament;president;president''s;burton;mr.',blue;mfs;ladonna;juvenile;mose
doc43,e50,2,-1,7,03595.txt,00050.txt,197,traders;fell;said;company;lire,a.m.;united;copper;72;states
doc430,e389,2,-1,14,00896.txt,00389.txt,4,said;police;dallas;undercover;king,silver;burger;king;hsn;mr.
doc431,e389,2,-1,14,03604.txt,00389.txt,10,million;debt;yield;tuesday;spread,spread;point;d.c.;million;yields
doc432,e389,2,-1,14,00136.txt,00389.txt,172,'stock;said;amtrol''s;amtrol;cypress',st.;credit;box;battle;mountain
doc433,e383,2,-1,8,01332.txt,00383.txt,133,games;national;lowell;u.s.;misti,p.m.;introduction;pan;asean;remarks
doc434,e383,2,-1,8,00395.txt,00383.txt,7,second;sean;golf;amateur;u.s.,p.m.;july;august;june;salcido
doc435,e389,2,-1,14,02601.txt,00389.txt,172,shareholders;said;arequipa;barrick;offer,st.;credit;box;battle;mountain
doc436,e389,2,-1,14,03782.txt,00389.txt,169,said;republican;gop;derryberry;mr.,blue;mfs;ladonna;juvenile;mose
doc437,e389,2,-1,14,01524.txt,00389.txt,5,said;coke;coca-cola;team;lakers,'coca-cola;israel''s;latham;said;volume'
doc438,e389,2,-1,14,01193.txt,00389.txt,169,commentary;discussion.;read;join;mr.,blue;mfs;ladonna;juvenile;mose
doc439,e389,2,-1,14,00590.txt,00389.txt,169,'said;seahawks'';death;manslaughter;behling',blue;mfs;ladonna;juvenile;mose
doc44,e50,2,-1,7,02671.txt,00050.txt,7,building;fell;myron;year;construction,fell;homes;construction;home;building
doc440,e393,2,-1,13,02247.txt,00393.txt,197,states;united;england;states.;a.m.,a.m.;united;copper;72;states
doc441,e393,2,-1,13,00207.txt,00393.txt,23,new;said;dollar;u.s.;sold,satellite;inflation;bank;cut;industry
doc442,e389,2,-1,14,02729.txt,00389.txt,25,myers;magnante;m;lockhart;vanda,c;loaiza;car;louis;atlanta
doc443,e393,2,-1,13,01790.txt,00393.txt,25,appraisals;tax;property;county;appraisal,welfare;tax;capital;windows;u.n.
doc444,e393,2,-1,13,01899.txt,00393.txt,169,justice;federal;juveniles;juvenile;mr.,blue;mfs;ladonna;juvenile;mose
doc445,e393,2,-1,13,02142.txt,00393.txt,25,borland;r;c;schilling;wade,c;loaiza;car;louis;atlanta
doc446,e393,2,-1,13,02136.txt,00393.txt,169,takes;codi;convention;derryberry;mr.,blue;mfs;ladonna;juvenile;mose
doc447,e393,2,-1,13,00231.txt,00393.txt,197,trading;said;german;basf;production,a.m.;united;copper;72;states
doc448,e393,2,-1,13,03319.txt,00393.txt,133,olivo;chosun;says;samsung;newspaper,p.m.;introduction;pan;asean;remarks
doc449,e393,2,-1,13,00483.txt,00393.txt,133,americans;badminton;make;u.s.;world,p.m.;introduction;pan;asean;remarks
doc45,e50,2,-1,7,00975.txt,00050.txt,172,(212)•À_416-3502;individual;vast;property;real-estate,st.;credit;box;battle;mountain
doc450,e393,2,-1,13,02226.txt,00393.txt,16,said;treasure;margarito;golden;mr.,games;mr.;codi;rufina;derryberry
doc451,e393,2,-1,13,01720.txt,00393.txt,14,banco;pesetas;popular;billion;rates,construction;deficit;swiss;french;auchan
doc452,e404,2,-1,12,04250.txt,00404.txt,197,seng;rose;index;cents;china,a.m.;united;copper;72;states
doc453,e404,2,-1,12,04003.txt,00404.txt,172,second;play;germany;night;goal,st.;credit;box;battle;mountain
doc454,e404,2,-1,12,01499.txt,00404.txt,197,trawick;rebel;crabb;chief;chechen,a.m.;united;copper;72;states
doc455,e404,2,-1,12,00487.txt,00404.txt,1,stock;votes;aetna;u.s.;healthcare,aetna;healthcare;votes;u.s.;stock
doc456,e404,2,-1,12,00643.txt,00404.txt,169,new;republican;convention;derryberry;mr.,blue;mfs;ladonna;juvenile;mose
doc457,e393,2,-1,13,00737.txt,00393.txt,172,hong;funds;chinese;mr.;china,st.;credit;box;battle;mountain
doc458,e393,2,-1,13,03375.txt,00393.txt,133,prudential;stock;said;firm;telemarketers,p.m.;introduction;pan;asean;remarks
doc459,e393,2,-1,13,01137.txt,00393.txt,45,boise;said;loss;paper;business,family;ife;vastcomm;true;comsat
doc46,e50,2,-1,7,03558.txt,00050.txt,197,million;centavos;harlow;included;pesos,a.m.;united;copper;72;states
doc460,e393,2,-1,13,03250.txt,00393.txt,23,new;said;rates;dollar;u.s.,satellite;inflation;bank;cut;industry
doc461,e393,2,-1,13,01203.txt,00393.txt,21,sumitomo;wyman;copper;lme;mr.,salmon;red;air;ball;tide
doc462,e393,2,-1,13,00421.txt,00393.txt,169,school;easy;rawlins;i;teacher,blue;mfs;ladonna;juvenile;mose
doc463,e393,2,-1,13,02806.txt,00393.txt,45,cents;said;trust;million;bankers,family;ife;vastcomm;true;comsat
doc464,e393,2,-1,13,02093.txt,00393.txt,21,russian;air;conditioning;conditioners;mr.,salmon;red;air;ball;tide
doc465,e393,2,-1,13,00505.txt,00393.txt,197,trucks;laredo;mexican;truckers;u.s.,a.m.;united;copper;72;states
doc466,e404,2,-1,12,02757.txt,00404.txt,133,new;medical;ivac;combination;advanced,p.m.;introduction;pan;asean;remarks
doc467,e404,2,-1,12,04126.txt,00404.txt,25,yd;louis;cincinnati;stl;fg,c;loaiza;car;louis;atlanta
doc468,e404,2,-1,12,02933.txt,00404.txt,133,'agencies;vastcomm;mr.;network;network''s',p.m.;introduction;pan;asean;remarks
doc469,e404,2,-1,12,02980.txt,00404.txt,169,asia;says;lte;internet;singapore,blue;mfs;ladonna;juvenile;mose
doc47,e50,2,-1,7,02033.txt,00050.txt,133,games;teams;said;beach;u.s.,p.m.;introduction;pan;asean;remarks
doc470,e404,2,-1,12,01803.txt,00404.txt,16,roseberry;said;bonnell;county;mr.,games;mr.;codi;rufina;derryberry
doc471,e404,2,-1,12,00399.txt,00404.txt,169,cigarette;stubbs;codi;tobacco;mr.,blue;mfs;ladonna;juvenile;mose
doc472,e404,2,-1,12,01295.txt,00404.txt,197,'dry;galbreath''s;joane;galbreath;novel',a.m.;united;copper;72;states
doc473,e404,2,-1,12,00094.txt,00404.txt,197,fell;managed;income;care;doctors,a.m.;united;copper;72;states
doc474,e404,2,-1,12,02587.txt,00404.txt,21,balls;ball;says;golf;golfers,salmon;red;air;ball;tide
doc475,e404,2,-1,12,03697.txt,00404.txt,197,fell;stock;jones;investors;dow,a.m.;united;copper;72;states
doc476,e404,2,-1,12,02143.txt,00404.txt,16,spec;luciano;says;homes;mr.,games;mr.;codi;rufina;derryberry
doc478,e477,2,-1,15,03516.txt,00477.txt,169,new;said;battle;debut.;innings,blue;mfs;ladonna;juvenile;mose
doc479,e477,2,-1,15,00448.txt,00477.txt,133,students;navarrete;u.s.;mr.;chinese,p.m.;introduction;pan;asean;remarks
doc48,e50,2,-1,7,03165.txt,00050.txt,172,21;ot;st.;20;14,st.;credit;box;battle;mountain
doc480,e490,2,-1,16,02549.txt,00490.txt,45,'million;said;sales;apple;apple''s',family;ife;vastcomm;true;comsat
doc481,e490,2,-1,16,03983.txt,00490.txt,172,hong;srg;kong;director;china,st.;credit;box;battle;mountain
doc482,e490,2,-1,16,01635.txt,00490.txt,25,person;d;p;2;vanlandingham,c;loaiza;car;louis;atlanta
doc483,e490,2,-1,16,03450.txt,00490.txt,10,debt;news;percentage;yield;spread,spread;point;d.c.;million;yields
doc484,e486,2,-1,17,01367.txt,00486.txt,169,site;muse;irwin;derryberry;mr.,blue;mfs;ladonna;juvenile;mose
doc485,e486,2,-1,17,02204.txt,00486.txt,197,;arrested;authorities;security;teens,a.m.;united;copper;72;states
doc487,e486,2,-1,17,00495.txt,00486.txt,25,sager;1;r;kent;plunk,c;loaiza;car;louis;atlanta
doc488,e486,2,-1,17,03135.txt,00486.txt,197,shares;said;germans;german;telekom,a.m.;united;copper;72;states
doc489,e490,2,-1,16,04217.txt,00490.txt,133,church;said.;french;government;africans,p.m.;introduction;pan;asean;remarks
doc49,e50,2,-1,7,03078.txt,00050.txt,5,said;agency;mr.;energy;natural-gas,gas;pipeline;british;energy;price
doc491,e490,2,-1,16,04080.txt,00490.txt,197,baht;index;fell;finance;stocks,a.m.;united;copper;72;states
doc492,e490,2,-1,16,00826.txt,00490.txt,23,satellite;new;european;companies;industry,satellite;inflation;bank;cut;industry
doc493,e490,2,-1,16,00812.txt,00490.txt,16,epstein;breast;ms.;curley;mr.,coffee;air;cases;doctors;heart
doc494,e503,2,-1,18,03825.txt,00503.txt,25,rbi;patterson;glavine;wohlers;foster,c;loaiza;car;louis;atlanta
doc495,e503,2,-1,18,03663.txt,00503.txt,133,escalera;needs;players;union;year,p.m.;introduction;pan;asean;remarks
doc496,e503,2,-1,18,01252.txt,00503.txt,25,march;14;utilities;2011;power,welfare;tax;capital;windows;u.n.
doc497,e503,2,-1,18,00294.txt,00503.txt,14,fell;1.5;stock;kronor.;kronor,kronor;drug;shares;astra;fell
doc498,e503,2,-1,18,03171.txt,00503.txt,1,line:;history;dejong;social;historian,history;dejong;social;historian;line:
doc499,e503,2,-1,18,03819.txt,00503.txt,169,president;said;dinger;codi;mr.,blue;mfs;ladonna;juvenile;mose
doc5,e13,2,-1,0,02675.txt,00013.txt,45,market;cents;fiscal;share;million,family;ife;vastcomm;true;comsat
doc500,e503,2,-1,18,04249.txt,00503.txt,23,new;rate;late;dollar;u.s.,satellite;inflation;bank;cut;industry
doc501,e503,2,-1,18,00328.txt,00503.txt,197,jones;vast;served;dow;business,a.m.;united;copper;72;states
doc502,e503,2,-1,18,02804.txt,00503.txt,197,shares;baht;million;bec;stocks,a.m.;united;copper;72;states
doc504,e503,2,-1,18,02674.txt,00503.txt,169,mikki;said;i;dodgers;worthington,blue;mfs;ladonna;juvenile;mose
doc505,e503,2,-1,18,00343.txt,00503.txt,133,sumitomo;said;chase;loan;mr.,p.m.;introduction;pan;asean;remarks
doc506,e527,2,-1,19,00275.txt,00527.txt,169,'o''bosch;decathlon;win;world;mr.',blue;mfs;ladonna;juvenile;mose
doc507,e527,2,-1,19,02886.txt,00527.txt,12,institute;peace;nicolas;middle;mr.,mr.;research;iranian;elections;government
doc508,e527,2,-1,19,00595.txt,00527.txt,197,'title;racial;board''s;vii;goal',a.m.;united;copper;72;states
doc509,e527,2,-1,19,03833.txt,00527.txt,16,'codi;democratic;campaign;codi''s;mr.',games;mr.;codi;rufina;derryberry
doc51,e50,2,-1,7,03096.txt,00050.txt,133,artis;6-3;i;career;hood,p.m.;introduction;pan;asean;remarks
doc510,e527,2,-1,19,04331.txt,00527.txt,197,lost;cents;reporting;ended;oil,a.m.;united;copper;72;states
doc511,e490,2,-1,16,00157.txt,00490.txt,21,tide.;red;gulf;mote;tide,salmon;red;air;ball;tide
doc512,e490,2,-1,16,04174.txt,00490.txt,12,rose;jones;market;dow;trading,shares;prices;rose;index;market
doc513,e527,2,-1,19,03569.txt,00527.txt,12,said;palestinian;bivins;bank;mr.,mr.;research;iranian;elections;government
doc514,e522,2,-1,20,01546.txt,00522.txt,133,dinger;plan;year;program;mr.,p.m.;introduction;pan;asean;remarks
doc515,e522,2,-1,20,03867.txt,00522.txt,16,caller;new;phone;service;calls,coffee;air;cases;doctors;heart
doc516,e486,2,-1,17,00745.txt,00486.txt,25,hentgen;perry;t;r;roberts,c;loaiza;car;louis;atlanta
doc517,e486,2,-1,17,04163.txt,00486.txt,169,'raymer''s;deposition;raymer;brown;mr.',blue;mfs;ladonna;juvenile;mose
doc518,e522,2,-1,20,03452.txt,00522.txt,14,earnings;rose;added;nasdaq.;posted,kronor;drug;shares;astra;fell
doc519,e486,2,-1,17,02157.txt,00486.txt,16,coffee;school;coffee;says;kids,coffee;air;cases;doctors;heart
doc52,e50,2,-1,7,04299.txt,00050.txt,12,shares;index;jones;investors;dow,shares;prices;rose;index;market
doc520,e522,2,-1,20,04152.txt,00522.txt,172,united;said;california;health;healthcare,st.;credit;box;battle;mountain
doc521,e522,2,-1,20,02747.txt,00522.txt,197,auction;april;pound.;hold;vastopolis,a.m.;united;copper;72;states
doc523,e522,2,-1,20,01433.txt,00522.txt,7,said;said;derryberry;man;mr.,chicago;web;direct;just;new
doc524,e527,2,-1,19,02341.txt,00527.txt,169,tbwa;new;agency;ad;mr.,blue;mfs;ladonna;juvenile;mose
doc525,e527,2,-1,19,01682.txt,00527.txt,7,june;august;2011;july;p.m.,p.m.;july;august;june;salcido
