source,target,APlevel,value,clusterId,sourcefilename,targetfilename,clustersize,sourceTopWords,targetTopWords
doc143,e127,2,-1,3,01978.txt,00127.txt,169,abortion;reanna;republicans;derryberry;mr.,blue;mfs;ladonna;juvenile;mose
doc144,e164,2,-1,4,01342.txt,00164.txt,197,traders;jones;stock;friday.;dow,a.m.;united;copper;72;states
doc145,e164,2,-1,4,02295.txt,00164.txt,169,legal;apple;justus;executives;mr.,blue;mfs;ladonna;juvenile;mose
doc146,e164,2,-1,4,04433.txt,00164.txt,197,fell;votes;25;no.;first-place,a.m.;united;copper;72;states
doc147,e164,2,-1,4,03545.txt,00164.txt,133,bray;2009;going;said;dallas,p.m.;introduction;pan;asean;remarks
doc148,e127,2,-1,3,02161.txt,00127.txt,16,games;million;committee;money;says,games;mr.;codi;rufina;derryberry
doc149,e127,2,-1,3,02468.txt,00127.txt,45,executive;said;company;bombay;mr.,family;ife;vastcomm;true;comsat
doc15,e13,2,-1,0,03438.txt,00013.txt,7,june;august;2011;july;p.m.,p.m.;july;august;june;salcido
doc150,e109,2,-1,1,02171.txt,00109.txt,172,stock;donnette;symbol;trademark;donnkenny,st.;credit;box;battle;mountain
doc151,e162,2,-1,5,03200.txt,00162.txt,22,december;said;cents;futures;prices,million;cattle;u.s.;gruma;pence
doc152,e162,2,-1,5,00884.txt,00162.txt,45,price;stock;says;tech;mr.,family;ife;vastcomm;true;comsat
doc153,e162,2,-1,5,04396.txt,00162.txt,133,said;exploded;bomb;people;city,p.m.;introduction;pan;asean;remarks
doc154,e162,2,-1,5,02589.txt,00162.txt,197,index;stock;jones;dow;u.s.,a.m.;united;copper;72;states
doc155,e164,2,-1,4,00244.txt,00164.txt,133,new;said;boeing;orders;airbus,p.m.;introduction;pan;asean;remarks
doc156,e162,2,-1,5,02924.txt,00162.txt,23,new;said;rate;bundesbank;dollar,satellite;inflation;bank;cut;industry
doc157,e162,2,-1,5,01188.txt,00162.txt,197,shares;office;stock;depot;volume,a.m.;united;copper;72;states
doc158,e162,2,-1,5,01298.txt,00162.txt,197,index;fell;jones;stock;dow,a.m.;united;copper;72;states
doc159,e162,2,-1,5,02392.txt,00162.txt,23,falling;dollar;uptown;u.s.;currency,satellite;inflation;bank;cut;industry
doc16,e13,2,-1,0,02022.txt,00013.txt,133,games;said.;yuette;security;atlanta,p.m.;introduction;pan;asean;remarks
doc160,e162,2,-1,5,00034.txt,00162.txt,169,i;sunday;win;no.;tennis,blue;mfs;ladonna;juvenile;mose
doc161,e162,2,-1,5,02436.txt,00162.txt,21,hong;aviation;kong;dragonair;china,salmon;red;air;ball;tide
doc163,e162,2,-1,5,03901.txt,00162.txt,172,bp;new;tv;service;internet,st.;credit;box;battle;mountain
doc165,e162,2,-1,5,02533.txt,00162.txt,23,new;said;trade;u.s.;mr.,satellite;inflation;bank;cut;industry
doc166,e162,2,-1,5,01788.txt,00162.txt,133,new;the;tv;web;like,p.m.;introduction;pan;asean;remarks
doc167,e162,2,-1,5,02210.txt,00162.txt,169,tale;mcgregor;mr.;utopian;a,blue;mfs;ladonna;juvenile;mose
doc168,e162,2,-1,5,02444.txt,00162.txt,7,however;boyfriend;dna;match.;man,p.m.;july;august;june;salcido
doc169,e162,2,-1,5,00204.txt,00162.txt,25,1;b;hartgraves;l;bielecki,c;loaiza;car;louis;atlanta
doc17,e13,2,-1,0,00692.txt,00013.txt,172,earnings;warner-lambert;billion;year;million,st.;credit;box;battle;mountain
doc170,e173,2,-1,6,00623.txt,00173.txt,169,home;red;boston;sox;hit,blue;mfs;ladonna;juvenile;mose
doc171,e173,2,-1,6,03821.txt,00173.txt,45,rose;cents;warner-lambert;sales;drug,family;ife;vastcomm;true;comsat
doc172,e173,2,-1,6,00071.txt,00173.txt,197,federal;land;government;district;city,a.m.;united;copper;72;states
doc174,e173,2,-1,6,01984.txt,00173.txt,133,said;gaming;management;mr.;world,p.m.;introduction;pan;asean;remarks
doc175,e173,2,-1,6,03383.txt,00173.txt,169,codi;president;birthday;codi;mr.,blue;mfs;ladonna;juvenile;mose
doc176,e173,2,-1,6,02459.txt,00173.txt,25,1;c;m;lieber;j,c;loaiza;car;louis;atlanta
doc177,e173,2,-1,6,04326.txt,00173.txt,197,shares;index;jones;investors;dow,a.m.;united;copper;72;states
doc178,e173,2,-1,6,02865.txt,00173.txt,133,victory;morton;ranked;no.;thompkins,p.m.;introduction;pan;asean;remarks
doc179,e173,2,-1,6,01212.txt,00173.txt,169,president;codi;foreign;u.s.;mr.,blue;mfs;ladonna;juvenile;mose
doc18,e13,2,-1,0,03902.txt,00013.txt,197,swiss;fell;lost;billion;francs,a.m.;united;copper;72;states
doc180,e173,2,-1,6,03039.txt,00173.txt,197,standard;percentage;deviation;portfolio;stocks,a.m.;united;copper;72;states
doc181,e173,2,-1,6,01373.txt,00173.txt,197,rose;new;million;stock;gold,a.m.;united;copper;72;states
doc182,e173,2,-1,6,02769.txt,00173.txt,133,insurance;home;cover;family;windows,p.m.;introduction;pan;asean;remarks
doc183,e173,2,-1,6,00120.txt,00173.txt,197,banco;said;exterior;fomento;bpi,a.m.;united;copper;72;states
doc184,e173,2,-1,6,01412.txt,00173.txt,16,professors;discrimination;tenure;ms.;number,coffee;air;cases;doctors;heart
doc185,e173,2,-1,6,03917.txt,00173.txt,172,million;stock;america;company;online,st.;credit;box;battle;mountain
doc186,e173,2,-1,6,00153.txt,00173.txt,172,financial;chantal;said;stock;allmon,st.;credit;box;battle;mountain
doc187,e173,2,-1,6,04312.txt,00173.txt,12,region;democracy;dignity;economic;asian,mr.;research;iranian;elections;government
doc188,e173,2,-1,6,01376.txt,00173.txt,172,software;borland;said;company;year,st.;credit;box;battle;mountain
doc189,e173,2,-1,6,00658.txt,00173.txt,197,'government.;taliban;afghanistan''s;afghan;government',a.m.;united;copper;72;states
doc19,e13,2,-1,0,03009.txt,00013.txt,14,said;rate;canadian;bank;government,construction;deficit;swiss;french;auchan
doc190,e173,2,-1,6,02863.txt,00173.txt,23,new;rate;trade;yen;u.s.,satellite;inflation;bank;cut;industry
doc191,e173,2,-1,6,02384.txt,00173.txt,172,army;victims;civilians;saturday;central,st.;credit;box;battle;mountain
doc192,e173,2,-1,6,03718.txt,00173.txt,169,jujube;beverage;gum;brain;mr.,blue;mfs;ladonna;juvenile;mose
doc193,e173,2,-1,6,03341.txt,00173.txt,22,aflatoxin;texas;cattle;crop;corn,million;cattle;u.s.;gruma;pence
doc194,e173,2,-1,6,01098.txt,00173.txt,172,new;telecommunications;services;communications;long-distance,st.;credit;box;battle;mountain
doc195,e173,2,-1,6,01113.txt,00173.txt,197,market;metric;canadian;pulp;tons,a.m.;united;copper;72;states
doc196,e173,2,-1,6,01602.txt,00173.txt,16,film;yang;heart;sacred;mr.,games;mr.;codi;rufina;derryberry
